netflix_condense table contents

title;type;listed_in;rating;country;date_added;release_year;duration
"Ginny & Georgia";"TV Show";"Romantic TV Shows, TV Comedies, TV Dramas";TV-14;"United States";24-Feb-21;2021;"1 Season"
"Two Sentence Horror Stories";"TV Show";"TV Horror, Teen TV Shows";TV-14;"United States";24-Feb-21;2021;"2 Seasons"
"Brian Regan: On the Rocks";Movie;"Stand-Up Comedy";TV-G;"United States";23-Feb-21;2021;"58 min"
"The Conjuring";Movie;"Horror Movies, Thrillers";R;"United States";21-Feb-21;2013;"112 min"
"Operation Finale";Movie;"Dramas, Thrillers";PG-13;"United States";20-Feb-21;2018;"123 min"
"No Escape Room";Movie;"Horror Movies";TV-14;"United States";18-Feb-21;2018;"85 min"
"Amend: The Fight for America";"TV Show";Docuseries;TV-MA;"United States";17-Feb-21;2021;"1 Season"
MeatEater;"TV Show";"Docuseries, Reality TV, Science & Nature TV";TV-14;"United States";17-Feb-21;2021;"4 Seasons"
"The Most Unknown";Movie;Documentaries;TV-PG;"United States";17-Feb-21;2018;"92 min"
"Animals on the Loose: A You vs. Wild Movie";Movie;"Children & Family Movies";TV-PG;"United States";16-Feb-21;2021;"139 min"
"Good Girls";"TV Show";"Crime TV Shows, TV Comedies, TV Dramas";TV-MA;"United States";16-Feb-21;2020;"3 Seasons"
"The Resurrection of Gavin Stone";Movie;"Children & Family Movies, Comedies, Dramas";PG;"United States";16-Feb-21;2017;"92 min"
"My Teacher, My Obsession";Movie;Thrillers;TV-14;"United States";15-Feb-21;2018;"86 min"
"The Crew";"TV Show";"TV Comedies";TV-14;"United States";15-Feb-21;2021;"1 Season"
"Buried by the Bernards";"TV Show";"Reality TV";TV-14;"United States";12-Feb-21;2021;"1 Season"
"Chappelle's Show";"TV Show";"TV Comedies";TV-MA;"United States";12-Feb-21;2005;"2 Seasons"
"To All The Boys: Always And Forever";Movie;"Comedies, Romantic Movies";TV-14;"United States";12-Feb-21;2021;"116 min"
"Blade Runner: The Final Cut";Movie;"Action & Adventure, Classic Movies, Cult Movies";R;"United States";1-Sep-21;1982;"117 min"
"Middle of Nowhere";Movie;"Dramas, Independent Movies, Romantic Movies";R;"United States";11-Feb-21;2012;"102 min"
"This Is the Life";Movie;"Documentaries, Music & Musicals";TV-MA;"United States";11-Feb-21;2008;"98 min"
"Crime Scene: The Vanishing at the Cecil Hotel";"TV Show";"Crime TV Shows, Docuseries";TV-MA;"United States";10-Feb-21;2021;"1 Season"
"The World We Make";Movie;"Dramas, Romantic Movies";PG;"United States";10-Feb-21;2019;"108 min"
"Five Came Back: The Reference Films";"TV Show";"TV Shows";TV-MA;"United States";9-Feb-21;1945;"1 Season"
ICarly;"TV Show";"Kids' TV, TV Comedies";TV-G;"United States";8-Feb-21;2008;"2 Seasons"
"The Sinner";"TV Show";"Crime TV Shows, TV Dramas, TV Mysteries";TV-MA;"United States";6-Feb-21;2020;"3 Seasons"
"Malcolm & Marie";Movie;"Dramas, Independent Movies";R;"United States";5-Feb-21;2021;"106 min"
"Strip Down, Rise Up";Movie;Documentaries;R;"United States";5-Feb-21;2021;"113 min"
"Firefly Lane";"TV Show";"Romantic TV Shows, TV Dramas";TV-MA;"United States";3-Feb-21;2021;"1 Season"
"Power Rangers Ninja Steel";"TV Show";"Kids' TV";TV-Y7;"United States";3-Feb-21;2018;"2 Seasons"
"Tiffany Haddish Presents: They Ready";"TV Show";"Stand-Up Comedy & Talk Shows, TV Comedies";TV-MA;"United States";2-Feb-21;2021;"2 Seasons"
"Beverly Hills Ninja";Movie;"Action & Adventure, Comedies";PG-13;"United States";1-Feb-21;1997;"89 min"
"Love Daily";"TV Show";"Romantic TV Shows, Teen TV Shows";TV-14;"United States";1-Feb-21;2018;"1 Season"
"My Dead Ex";"TV Show";"TV Comedies, Teen TV Shows";TV-14;"United States";1-Feb-21;2018;"1 Season"
"Shutter Island";Movie;Thrillers;R;"United States";1-Feb-21;2010;"139 min"
"The Unsettling";"TV Show";"TV Horror, Teen TV Shows";TV-14;"United States";1-Feb-21;2019;"1 Season"
